Sample_ID,Sample_Date,Location,pH_LSL,pH_USL,Turbidity_Max_NTU,Chlorine_LSL_mgL,Chlorine_USL_mgL,pH_Result,Turbidity_NTU,Chlorine_mgL,Status,Remarks,Corrective_Action
E001,2026-06-01,WTP-01,6.5,8.5,5,0.2,1,7.02,3.72,0.5,OK,All parameters acceptable,Routine monitoring
E002,2026-06-02,WTP-02,6.5,8.5,5,0.2,1,6.73,1.56,0.55,OK,All parameters acceptable,Routine monitoring
E003,2026-06-03,WTP-03,6.5,8.5,5,0.2,1,7.27,3.01,0.42,OK,All parameters acceptable,Routine monitoring
E004,2026-06-04,WTP-04,6.5,8.5,5,0.2,1,7.15,2.68,0.61,OK,All parameters acceptable,Routine monitoring
E005,2026-06-05,WTP-05,6.5,8.5,5,0.2,1,6.97,2.9,0.71,OK,All parameters acceptable,Routine monitoring
E006,2026-06-06,WTP-06,6.5,8.5,5,0.2,1,8.72,2.5,0.63,FAIL,Non-compliance: pH,Resample and investigate treatment process
E007,2026-06-07,WTP-01,6.5,8.5,5,0.2,1,7.07,1.68,0.63,OK,All parameters acceptable,Routine monitoring
E008,2026-06-08,WTP-02,6.5,8.5,5,0.2,1,7.56,2.47,0.69,OK,All parameters acceptable,Routine monitoring
E009,2026-06-09,WTP-03,6.5,8.5,5,0.2,1,6.74,4.46,0.58,OK,All parameters acceptable,Routine monitoring
E010,2026-06-10,WTP-04,6.5,8.5,5,0.2,1,6.95,2.84,0.46,OK,All parameters acceptable,Routine monitoring
E011,2026-06-11,WTP-05,6.5,8.5,5,0.2,1,7.26,4,0.66,OK,All parameters acceptable,Routine monitoring
E012,2026-06-12,WTP-06,6.5,8.5,5,0.2,1,7.31,1.84,0.73,OK,All parameters acceptable,Routine monitoring
E013,2026-06-13,WTP-01,6.5,8.5,5,0.2,1,7.28,6.8,0.6,FAIL,Non-compliance: turbidity,Resample and investigate treatment process
E014,2026-06-14,WTP-02,6.5,8.5,5,0.2,1,6.64,1.32,0.62,OK,All parameters acceptable,Routine monitoring
E015,2026-06-15,WTP-03,6.5,8.5,5,0.2,1,6.92,1.38,0.41,OK,All parameters acceptable,Routine monitoring
E016,2026-06-16,WTP-04,6.5,8.5,5,0.2,1,7.24,3.73,0.48,OK,All parameters acceptable,Routine monitoring
E017,2026-06-17,WTP-05,6.5,8.5,5,0.2,1,7.24,2.39,0.58,OK,All parameters acceptable,Routine monitoring
E018,2026-06-18,WTP-06,6.5,8.5,5,0.2,1,7.66,2.26,0.7,OK,All parameters acceptable,Routine monitoring
E019,2026-06-19,WTP-01,6.5,8.5,5,0.2,1,7,0.3,0.5,OK,All parameters acceptable,Routine monitoring
E020,2026-06-20,WTP-02,6.5,8.5,5,0.2,1,7.18,2.43,0.59,OK,All parameters acceptable,Routine monitoring
E021,2026-06-21,WTP-03,6.5,8.5,5,0.2,1,6.31,2.4,0.6,FAIL,Non-compliance: pH,Resample and investigate treatment process
